type,step,loss,learning_rate
train,170,3.42417407,4.643e-06
train,171,3.33150005,4.607e-06
train,172,3.10025501,4.571e-06
train,173,3.20056438,4.536e-06
train,174,3.13224769,4.5e-06
train,175,3.04348755,4.464e-06
train,176,3.20790911,4.429e-06
train,177,3.05345321,4.393e-06
train,178,3.20005202,4.357e-06
train,179,3.15690374,4.321e-06
train,180,3.15864873,4.286e-06
train,181,3.03392625,4.25e-06
train,182,3.55766392,4.214e-06
train,183,3.23342991,4.179e-06
train,184,3.27676105,4.143e-06
train,185,3.47925425,4.107e-06
train,186,3.36646938,4.071e-06
train,187,3.36018038,4.036e-06
train,188,3.15978193,4e-06
train,189,3.31314731,3.964e-06
train,190,3.01480246,3.929e-06
train,191,3.45686984,3.893e-06
train,192,3.03373766,3.857e-06
train,193,3.34418416,3.821e-06
train,194,3.24525094,3.786e-06
train,195,3.30335617,3.75e-06
train,196,3.04051948,3.714e-06
train,197,3.3852396,3.679e-06
train,198,3.2287941,3.643e-06
train,199,3.195122,3.607e-06
train,200,3.32188082,3.571e-06
eval,200,3.1214351654052734,
train,201,3.532125,3.536e-06
train,202,3.03445411,3.5e-06
train,203,3.33633518,3.464e-06
train,204,3.05017948,3.429e-06
train,205,3.29551601,3.393e-06
train,206,3.13759303,3.357e-06
train,207,2.96337986,3.321e-06
train,208,3.42885208,3.286e-06
train,209,2.96491551,3.25e-06
train,210,3.14633274,3.214e-06
train,211,3.2365799,3.179e-06
train,212,3.37942219,3.143e-06
train,213,3.09522176,3.107e-06
train,214,3.15899944,3.071e-06
train,215,3.0869956,3.036e-06
train,216,3.02785873,3e-06
train,217,2.94926,2.964e-06
train,218,2.94289184,2.929e-06
train,219,3.09438658,2.893e-06
train,220,3.01230454,2.857e-06
train,221,3.51297951,2.821e-06
train,222,2.95341301,2.786e-06
train,223,3.28477478,2.75e-06
train,224,2.95818996,2.714e-06
train,225,3.03857374,2.679e-06
train,226,2.732265,2.643e-06
train,227,3.05367041,2.607e-06
train,228,3.01755691,2.571e-06
train,229,3.05393767,2.536e-06
train,230,3.1432023,2.5e-06
train,231,2.66033792,2.464e-06
train,232,2.82078266,2.429e-06
train,233,2.96002722,2.393e-06
train,234,3.2092905,2.357e-06
train,235,3.48760939,2.321e-06
train,236,3.24434805,2.286e-06
train,237,2.90824366,2.25e-06
train,238,2.49057865,2.214e-06
train,239,2.98239279,2.179e-06
train,240,3.31708288,2.143e-06
train,241,2.93068147,2.107e-06
train,242,2.94860315,2.071e-06
train,243,3.02887821,2.036e-06
train,244,3.28276324,2e-06
train,245,2.78144455,1.964e-06
train,246,3.24304938,1.929e-06
train,247,3.08468223,1.893e-06
train,248,3.36518359,1.857e-06
train,249,2.9643445,1.821e-06
train,250,3.24060774,1.786e-06
eval,250,2.994046211242676,
train,251,2.98812509,1.75e-06
train,252,3.13319159,1.714e-06
train,253,2.87904692,1.679e-06
train,254,2.71405101,1.643e-06
train,255,3.29934001,1.607e-06
train,256,3.23098707,1.571e-06
train,257,3.03214407,1.536e-06
train,258,3.34103823,1.5e-06
train,259,2.76716781,1.464e-06
train,260,2.63657904,1.429e-06
train,261,2.75491071,1.393e-06
train,262,2.73885417,1.357e-06
train,263,2.73253441,1.321e-06
train,264,3.09524488,1.286e-06
train,265,3.22248721,1.25e-06
train,266,2.90062904,1.214e-06
train,267,2.9653697,1.179e-06
train,268,2.98670411,1.143e-06
train,269,2.92315912,1.107e-06
train,270,3.23542881,1.071e-06
train,271,2.82419682,1.036e-06
train,272,2.79526186,1e-06
train,273,2.99248314,9.643e-07
train,274,3.16310167,9.286e-07
train,275,2.81237173,8.929e-07
train,276,2.92651892,8.571e-07
train,277,2.97434568,8.214e-07
train,278,2.84037542,7.857e-07
train,279,3.44824409,7.5e-07
train,280,3.09026933,7.143e-07
train,281,2.88498688,6.786e-07
train,282,3.22301817,6.429e-07
train,283,3.09577489,6.071e-07
train,284,2.84774542,5.714e-07
train,285,2.79358864,5.357e-07
train,286,3.26852107,5e-07
train,287,2.53935909,4.643e-07
train,288,3.15972757,4.286e-07
train,289,2.9047482,3.929e-07
train,290,2.9698143,3.571e-07
train,291,2.81452847,3.214e-07
train,292,2.97712159,2.857e-07
train,293,2.56104016,2.5e-07
train,294,2.83105659,2.143e-07
train,295,3.00408149,1.786e-07
train,296,3.10699749,1.429e-07
train,297,2.9038744,1.071e-07
train,298,2.82112265,7.143e-08
train,299,2.81822062,3.571e-08
train,300,3.25004292,0.0
eval,300,2.947042942047119,
