step,loss,learning_rate
135,7.37578487,5.893e-06
136,7.95940208,5.857e-06
137,7.60958815,5.821e-06
138,8.13066769,5.786e-06
139,8.32404995,5.75e-06
140,7.77996445,5.714e-06
141,7.34610844,5.679e-06
142,7.40758514,5.643e-06
143,6.86457586,5.607e-06
144,6.86607027,5.571e-06
145,7.26947737,5.536e-06
146,8.26338959,5.5e-06
147,7.80406427,5.464e-06
148,7.40320778,5.429e-06
149,7.44536209,5.393e-06
150,7.08883667,5.357e-06
151,7.59092331,5.321e-06
152,7.67415905,5.286e-06
153,8.1087513,5.25e-06
154,7.18381357,5.214e-06
155,7.72588444,5.179e-06
156,8.32081127,5.143e-06
157,7.634552,5.107e-06
158,7.87805176,5.071e-06
159,6.94386625,5.036e-06
160,7.63545036,5e-06
161,7.82348251,4.964e-06
162,8.22187138,4.929e-06
163,7.57142878,4.893e-06
164,7.67974949,4.857e-06
165,7.53489304,4.821e-06
166,6.65763235,4.786e-06
167,7.70314598,4.75e-06
168,7.29313278,4.714e-06
169,7.44686651,4.679e-06
170,7.556427,4.643e-06
171,7.03773546,4.607e-06
172,7.49868155,4.571e-06
173,7.75602245,4.536e-06
174,7.17586803,4.5e-06
175,7.27418756,4.464e-06
176,7.45197535,4.429e-06
177,7.5356617,4.393e-06
178,6.91145086,4.357e-06
179,6.94464445,4.321e-06
180,7.52845001,4.286e-06
181,7.37980366,4.25e-06
182,7.13158894,4.214e-06
183,6.67117691,4.179e-06
184,7.22261763,4.143e-06
185,6.72359657,4.107e-06
186,7.74055576,4.071e-06
187,7.39063072,4.036e-06
188,6.96179008,4e-06
189,7.1958003,3.964e-06
190,7.54996681,3.929e-06
191,7.51322412,3.893e-06
192,7.27973747,3.857e-06
193,6.73532677,3.821e-06
194,6.62542629,3.786e-06
195,7.25421572,3.75e-06
196,6.65910053,3.714e-06
197,7.33231497,3.679e-06
198,7.068964,3.643e-06
199,7.2803278,3.607e-06
200,7.61460257,3.571e-06
201,8.24001884,3.536e-06
202,7.34734917,3.5e-06
203,6.83041382,3.464e-06
204,7.75084305,3.429e-06
205,6.77376938,3.393e-06
206,7.14883614,3.357e-06
207,6.56100273,3.321e-06
208,7.4254756,3.286e-06
209,7.0211854,3.25e-06
210,7.15906143,3.214e-06
211,6.64924002,3.179e-06
212,7.84832859,3.143e-06
213,6.37063551,3.107e-06
214,8.22946072,3.071e-06
215,5.76692867,3.036e-06
216,6.55959797,3e-06
217,7.43270683,2.964e-06
218,7.65005398,2.929e-06
219,7.44436741,2.893e-06
220,7.10798359,2.857e-06
221,6.71392918,2.821e-06
222,6.594244,2.786e-06
223,7.2821312,2.75e-06
224,6.67012501,2.714e-06
225,7.20064354,2.679e-06
226,6.65260029,2.643e-06
227,6.70058346,2.607e-06
228,7.06106186,2.571e-06
229,7.32902193,2.536e-06
230,7.06760406,2.5e-06
231,6.74439478,2.464e-06
232,7.7969141,2.429e-06
233,6.7419796,2.393e-06
234,7.11643267,2.357e-06
235,6.99670553,2.321e-06
236,7.53342772,2.286e-06
237,7.04669571,2.25e-06
238,7.01646233,2.214e-06
239,7.21573162,2.179e-06
240,7.27254581,2.143e-06
241,6.84438324,2.107e-06
242,7.33193588,2.071e-06
243,7.6318655,2.036e-06
244,6.99948406,2e-06
245,7.57373476,1.964e-06
246,6.0391717,1.929e-06
247,7.25902605,1.893e-06
248,7.32306004,1.857e-06
249,6.62961531,1.821e-06
250,7.14745045,1.786e-06
251,7.55456161,1.75e-06
252,6.08158588,1.714e-06
253,7.21554422,1.679e-06
254,7.37037706,1.643e-06
255,6.95263481,1.607e-06
256,7.29261589,1.571e-06
257,7.15817833,1.536e-06
258,7.57673454,1.5e-06
259,6.81723595,1.464e-06
260,7.48047495,1.429e-06
261,6.86556816,1.393e-06
262,7.00518847,1.357e-06
263,7.105721,1.321e-06
264,6.36936235,1.286e-06
265,6.75046873,1.25e-06
266,6.97659588,1.214e-06
267,7.01983833,1.179e-06
268,7.34536743,1.143e-06
269,7.6237936,1.107e-06
270,6.99866581,1.071e-06
271,6.60207224,1.036e-06
272,7.01745653,1e-06
273,7.09724331,9.643e-07
274,6.85189438,9.286e-07
275,6.8967824,8.929e-07
276,6.81754637,8.571e-07
277,7.79457188,8.214e-07
278,6.67182636,7.857e-07
279,7.79038048,7.5e-07
280,7.13337898,7.143e-07
281,7.04938459,6.786e-07
282,6.93070698,6.429e-07
283,7.1866827,6.071e-07
284,6.71772814,5.714e-07
285,6.65011883,5.357e-07
286,7.06449127,5e-07
287,7.29935169,4.643e-07
288,7.05006361,4.286e-07
289,6.85692501,3.929e-07
290,7.40294695,3.571e-07
291,7.32180691,3.214e-07
292,7.40902519,2.857e-07
293,6.70034695,2.5e-07
294,6.67593431,2.143e-07
295,7.09055233,1.786e-07
296,6.94485855,1.429e-07
297,6.61608791,1.071e-07
298,7.12883759,7.143e-08
299,7.13915348,3.571e-08
300,6.81829977,0.0
